STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10352,1,1,1,1,NA,0,0,2,1,2,2,NA,NA,NA,NA,0,1,4,3
10353,1,1,1,1,NA,0,0,2,1,2,2,3,4,3,4,1,1,6,2
10354,0,1,0,2,NA,0,0,2,1,2,2,3,4,3,4,1,0,3,3
10356,1,1,1,1,1,0,0,3,3,NA,NA,NA,NA,NA,NA,0,1,4,3
10357,0,1,0,2,2,0,0,3,1,2,2,4,4,4,4,NA,NA,4.5,1
10359,0,5,1,1,NA,0,0,2,0,2,NA,NA,NA,NA,NA,0,1,2.5,1
10361,0,1,1,1,NA,0,0,2,0,3,NA,NA,NA,NA,NA,0,1,4,3
10363,0,1,0,3,NA,0,1,2.75,1,2,2,2,3,3,2,1,0,4,2.5
10364,1,1,0,2,NA,0,0,2,1,2,3,4,3,2,2,0,0,3,3.5
10365,0,1,0,2,NA,0,1,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5
10366,1,1,1,1,NA,0,0,3.25,3,NA,NA,NA,NA,NA,NA,0,0,4,3
10367,0,1,1,1,NA,0,0,1,1,2,1,3,3,3,3,0,1,4,1.5
10369,0,1,0,2,NA,0,0,1.75,0,2,2,NA,NA,NA,NA,0,0,5,3.5
10372,0,1,0,3,3,0,0,1,0,3,1,NA,NA,NA,NA,1,0,4,3
10373,0,1,0,2,NA,0,1,1.5,1,3,2,3,3,2,3,0,1,5,4
10375,0,1,0,2,NA,0,0,2.25,3,NA,NA,NA,NA,NA,NA,1,0,4,2
10376,0,1,0,2,3,0,0,2,1,3,NA,NA,NA,NA,NA,1,1,4.5,3
10377,0,2,1,1,NA,0,0,2.5,1,2,1,NA,NA,NA,NA,0,1,2.5,1
10379,1,1,0,3,NA,0,0,2,1,3,2,NA,NA,NA,NA,NA,NA,4,4
10381,0,3,1,1,NA,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25
